2026-02-20 00:10:07 [INFO]: id: 698dbb06bcc74a177f8719f0, role: staff
2026-02-20 04:56:44 [INFO]: id: 698dbb06bcc74a177f8719f0, role: staff
2026-02-20 05:04:27 [INFO]: id: 698dbb06bcc74a177f8719f0, role: staff
2026-02-20 05:06:10 [INFO]: id: 6989c0e19b953bee6ff90502, role: chef
2026-02-20 05:24:39 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-02-20 05:39:46 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-02-20 05:39:46 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-02-20 05:39:46 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-02-20 05:40:37 [INFO]: id: 6989c0e19b953bee6ff90502, role: chef
2026-02-20 05:41:16 [INFO]: id: 6989c0e19b953bee6ff90502, role: chef
2026-02-20 06:17:11 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-02-20 06:17:11 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-02-20 06:17:11 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-02-20 06:28:54 [INFO]: id: 6989c0e19b953bee6ff90502, role: chef
2026-02-20 06:33:23 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-02-20 06:33:23 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-02-20 06:33:23 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-02-20 06:49:29 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-02-20 06:49:29 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-02-20 06:49:29 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-02-20 07:05:39 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-02-20 07:05:39 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-02-20 07:05:39 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-02-20 07:12:08 [INFO]: id: 6989c0e19b953bee6ff90502, role: chef
2026-02-20 07:26:00 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-02-20 07:26:00 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-02-20 07:26:01 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-02-20 07:45:29 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-02-20 07:45:29 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-02-20 07:45:29 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-02-20 07:57:14 [INFO]: id: 6989c0e19b953bee6ff90502, role: chef
2026-02-20 08:00:34 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-02-20 08:12:52 [INFO]: id: 698dbb06bcc74a177f8719f0, role: staff
2026-02-20 08:13:28 [INFO]: id: 6989c0e19b953bee6ff90502, role: chef
2026-02-20 08:14:24 [INFO]: id: 692ea36738a54f8d01ed6747, role: admin
