2026-04-14 09:45:51 [INFO]: id: 691bc55c017059272d8ee6b9, role: superadmin
2026-04-14 09:49:30 [INFO]: id: 691bc55c017059272d8ee6b9, role: superadmin
2026-04-14 09:52:56 [INFO]: id: 691bc55c017059272d8ee6b9, role: superadmin
2026-04-14 09:54:19 [INFO]: id: 691bc55c017059272d8ee6b9, role: superadmin
2026-04-14 10:03:35 [INFO]: id: 691bc55c017059272d8ee6b9, role: superadmin
2026-04-14 10:03:36 [INFO]: id: 691bc55c017059272d8ee6b9, role: superadmin
2026-04-14 10:48:59 [INFO]: id: 691bc55c017059272d8ee6b9, role: superadmin
2026-04-14 10:49:31 [INFO]: id: 691bc55c017059272d8ee6b9, role: superadmin
2026-04-14 10:50:34 [INFO]: id: 691bc55c017059272d8ee6b9, role: superadmin
2026-04-14 10:50:59 [INFO]: id: 691bc55c017059272d8ee6b9, role: superadmin
2026-04-14 10:53:06 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-04-14 11:01:07 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-04-14 11:05:21 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-04-14 11:06:21 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-04-14 11:07:45 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-04-14 11:08:07 [INFO]: id: 692ea36738a54f8d01ed6747, role: admin
2026-04-14 11:08:42 [INFO]: id: 692ea36738a54f8d01ed6747, role: admin
2026-04-14 11:18:59 [INFO]: id: 692ea36738a54f8d01ed6747, role: admin
2026-04-14 11:42:17 [INFO]: id: 692ea36738a54f8d01ed6747, role: admin
2026-04-14 11:44:07 [INFO]: id: 692ea36738a54f8d01ed6747, role: admin
2026-04-14 11:57:08 [INFO]: id: 692ea36738a54f8d01ed6747, role: admin
2026-04-14 11:57:33 [INFO]: id: 6989c0e19b953bee6ff90502, role: chef
2026-04-14 12:31:31 [INFO]: id: 692ea36738a54f8d01ed6747, role: admin
2026-04-14 12:32:35 [INFO]: id: 692ea36738a54f8d01ed6747, role: admin
2026-04-14 12:33:36 [INFO]: id: 692ea36738a54f8d01ed6747, role: admin
