2026-03-09 10:40:57 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-03-09 10:42:05 [INFO]: id: 692ea36738a54f8d01ed6747, role: admin
2026-03-09 10:58:08 [INFO]: id: 692ea36738a54f8d01ed6747, role: admin
2026-03-09 10:58:09 [INFO]: id: 692ea36738a54f8d01ed6747, role: admin
2026-03-09 10:58:09 [INFO]: id: 692ea36738a54f8d01ed6747, role: admin
2026-03-09 11:22:36 [INFO]: id: 692ea36738a54f8d01ed6747, role: admin
2026-03-09 11:22:38 [INFO]: id: 692ea36738a54f8d01ed6747, role: admin
2026-03-09 11:22:40 [INFO]: id: 692ea36738a54f8d01ed6747, role: admin
2026-03-09 12:20:57 [INFO]: id: 692ea36738a54f8d01ed6747, role: admin
2026-03-09 12:20:59 [INFO]: id: 692ea36738a54f8d01ed6747, role: admin
2026-03-09 12:21:01 [INFO]: id: 692ea36738a54f8d01ed6747, role: admin
2026-03-09 12:34:18 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-03-09 12:35:12 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-03-09 12:35:25 [INFO]: id: 692ea36738a54f8d01ed6747, role: admin
2026-03-09 12:36:50 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-03-09 12:45:24 [INFO]: id: 692ea36738a54f8d01ed6747, role: admin
2026-03-09 12:49:54 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-03-09 13:05:14 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-03-09 13:09:00 [INFO]: id: 692ea36738a54f8d01ed6747, role: admin
2026-03-09 13:26:13 [INFO]: id: 692ea36738a54f8d01ed6747, role: admin
2026-03-09 13:28:45 [INFO]: id: 698dbb06bcc74a177f8719f0, role: staff
2026-03-09 13:34:44 [INFO]: id: 6989c0e19b953bee6ff90502, role: chef
2026-03-09 13:36:28 [INFO]: id: 698dbb06bcc74a177f8719f0, role: staff
2026-03-09 13:40:56 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-03-09 14:02:29 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-03-09 14:05:52 [INFO]: id: 692ea36738a54f8d01ed6747, role: admin
2026-03-09 14:08:17 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-03-09 14:12:54 [INFO]: id: 692ea36738a54f8d01ed6747, role: admin
2026-03-09 14:15:09 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-03-09 14:20:42 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-03-09 15:02:12 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-03-09 15:18:40 [INFO]: id: 698dbb06bcc74a177f8719f0, role: staff
2026-03-09 15:19:21 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-03-09 15:23:06 [INFO]: id: 6989c0e19b953bee6ff90502, role: chef
2026-03-09 15:23:40 [INFO]: id: 698dbb06bcc74a177f8719f0, role: staff
2026-03-09 15:24:06 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-03-09 15:26:03 [INFO]: id: 6989c0e19b953bee6ff90502, role: chef
2026-03-09 15:28:01 [INFO]: id: 6989c0e19b953bee6ff90502, role: chef
2026-03-09 15:28:21 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-03-09 15:41:17 [INFO]: id: 698dbb06bcc74a177f8719f0, role: staff
2026-03-09 16:01:01 [INFO]: id: 692ea36738a54f8d01ed6747, role: admin
2026-03-09 16:43:51 [INFO]: id: 692ea36738a54f8d01ed6747, role: admin
2026-03-09 16:43:51 [INFO]: id: 692ea36738a54f8d01ed6747, role: admin
